date,maxTemp,minTemp,,
1980/1/2,42,29,,
1980/1/3,43,14,,
1980/1/4,43,31,,
1980/1/5,57,25,s,
1980/1/6,57,23,,
1980/1/7,29,11,,
1980/1/8,25,10,,d
1980/1/9,29,5,,
1980/1/10,52,17,, 
1980/1/11,54,20,,
1980/1/12,57,20,,
1980/1/13,59,45,,
1980/1/14,63,38,,
1980/1/15,54,34,,
1980/1/16,43,28,,
1980/1/17,48,25,,
1980/1/18,48,29,,
1980/1/19,31,14,,
1980/1/20,30,9,,
1980/1/21,42,14,,
1980/1/22,42,13,,
1980/1/23,52,25,,
1980/1/24,60,41,,
1980/1/25,52,14,,
1980/1/26,14,0,,
1980/1/27,4,-2,,
1980/1/28,7,-1,,
1980/1/29,12,0,,
1980/1/30,27,-2,,
1980/1/31,39,2,,
1980/2/1,56,18,,
1980/2/2,53,34,,
1980/2/3,52,31,,
1980/2/4,54,36,,
1980/2/5,44,22,,
1980/2/6,46,24,,
1980/2/7,34,21,,
1980/2/8,27,7,,
1980/2/9,49,8,,
1980/2/10,45,18,,
1980/2/11,41,18,,
1980/2/12,52,16,,
1980/2/13,54,29,,
1980/2/14,39,22,,
1980/2/15,24,12,,
1980/2/16,29,9,,
1980/2/17,44,15,,
1980/2/18,63,26,,
1980/2/19,61,38,,
1980/2/20,52,34,,
1980/2/21,58,32,,
1980/2/22,50,30,,
1980/2/23,41,26,,
1980/2/24,47,19,,
1980/2/25,58,22,,
1980/2/26,63,31,,
1980/2/27,72,35,,
1980/2/28,66,34,,
1980/2/29,54,21,,
1980/3/1,32,2,,
1980/3/2,58,14,,
1980/3/3,54,37,,
1980/3/4,46,22,,
1980/3/5,30,22,,
1980/3/6,56,24,,
1980/3/7,42,29,,
1980/3/8,51,24,,
1980/3/9,55,31,,
1980/3/10,58,36,,
1980/3/11,56,27,,
1980/3/12,49,27,,
1980/3/13,56,22,,
1980/3/14,67,34,,
1980/3/15,67,42,,
1980/3/16,57,26,,
1980/3/17,51,15,,
1980/3/18,66,32,,
1980/3/19,62,39,,
1980/3/20,55,24,,
1980/3/21,59,21,,
1980/3/22,54,31,,
1980/3/23,39,31,,
1980/3/24,56,25,,
1980/3/25,48,27,,
1980/3/26,47,28,,
1980/3/27,45,23,,
1980/3/28,42,24,,
1980/3/29,44,21,,
1980/3/30,52,26,,
1980/3/31,44,26,,
1980/4/1,37,25,,
1980/4/2,34,26,,
1980/4/3,43,18,,
1980/4/4,53,24,,
1980/4/5,61,30,,
1980/4/6,57,38,,
1980/4/7,47,35,,
1980/4/8,56,25,,
1980/4/9,65,29,,
1980/4/10,61,22,,
1980/4/11,49,31,,
1980/4/12,43,20,,
1980/4/13,53,24,,
1980/4/14,69,29,,
1980/4/15,72,43,,
1980/4/16,66,36,,
1980/4/17,68,33,,
1980/4/18,79,37,,
1980/4/19,81,45,,
1980/4/20,81,46,,
1980/4/21,83,49,,
1980/4/22,79,49,,
1980/4/23,72,42,,
1980/4/24,45,33,,
1980/4/25,53,30,,
1980/4/26,59,34,,
1980/4/27,65,36,,
1980/4/28,72,39,,
1980/4/29,75,44,,
1980/4/30,66,44,,
1980/5/1,51,39,,
1980/5/2,62,40,,
1980/5/3,67,41,,
1980/5/4,67,39,,
1980/5/5,68,46,,
1980/5/6,69,46,,
1980/5/7,58,46,,
1980/5/8,56,47,,
1980/5/9,69,40,,
1980/5/10,71,46,,
1980/5/11,66,42,,
1980/5/12,60,36,,
1980/5/13,60,39,,
1980/5/14,65,38,,
1980/5/15,56,45,,
1980/5/16,56,40,,
1980/5/17,50,38,,
1980/5/18,63,36,,
1980/5/19,72,39,,
1980/5/20,76,39,,
1980/5/21,83,48,,
1980/5/22,80,50,,
1980/5/23,79,49,,
1980/5/24,80,46,,
1980/5/25,78,41,,
1980/5/26,74,39,,
1980/5/27,80,44,,
1980/5/28,84,47,,
1980/5/29,76,42,,
1980/5/30,76,41,,
1980/5/31,81,43,,
1980/6/1,78,45,,
1980/6/2,79,43,,
1980/6/3,88,47,,
1980/6/4,93,57,,
1980/6/5,91,54,,
1980/6/6,91,53,,
1980/6/7,88,45,,
1980/6/8,77,51,,
1980/6/9,81,48,,
1980/6/10,86,53,,
1980/6/11,93,52,,
1980/6/12,93,57,,
1980/6/13,93,58,,
1980/6/14,93,55,,
1980/6/15,90,53,,
1980/6/16,82,53,,
1980/6/17,88,53,,
1980/6/18,93,56,,
1980/6/19,87,55,,
1980/6/20,84,51,,
1980/6/21,90,56,,
1980/6/22,94,54,,
1980/6/23,99,55,,
1980/6/24,93,58,,
1980/6/25,99,59,,
1980/6/26,91,62,,
1980/6/27,93,63,,
1980/6/28,92,58,,
1980/6/29,93,54,,
1980/6/30,94,58,,
1980/8/1,95,61,,
1980/8/2,94,63,,
1980/8/3,95,62,,
1980/8/4,89,50,,
1980/8/5,94,54,,
1980/8/6,98,56,,
1980/8/7,98,66,,
1980/8/8,86,65,,
1980/8/9,92,58,,
1980/8/10,84,56,,
1980/8/11,86,62,,
1980/8/12,95,58,,
1980/8/13,85,58,,
1980/8/14,76,59,,
1980/8/15,85,61,,
1980/8/16,81,55,,
